hash_name,cost_price,profit_rub,profit_percent
★ Sport Gloves | Vice (Minimal Wear),441689,22459,5.0
★ Butterfly Knife | Marble Fade (Factory New),200526,17878,9.0
★ Butterfly Knife | Slaughter (Minimal Wear),121679,13656,11.0
★ StatTrak™ M9 Bayonet | Crimson Web (Minimal Wear),148372,13582,9.0
★ Butterfly Knife | Night (Minimal Wear),79132,12716,16.0
★ Specialist Gloves | Crimson Kimono (Field-Tested),119904,12196,10.0
★ Talon Knife | Marble Fade (Factory New),86042,10472,12.0
★ Karambit | Doppler (Factory New),117878,9280,8.0
★ StatTrak™ Karambit | Black Laminate (Field-Tested),71537,8929,12.0
★ Driver Gloves | Diamondback (Field-Tested),11354,8861,78.0
★ Talon Knife | Damascus Steel (Factory New),43218,8134,19.0
★ StatTrak™ Falchion Knife | Freehand (Factory New),18401,6592,36.0
★ Ursus Knife | Marble Fade (Factory New),42682,4645,11.0
★ Butterfly Knife | Crimson Web (Battle-Scarred),67736,4524,7.000000000000001
StatTrak™ Glock-18 | Snack Attack (Factory New),6748,4333,64.0
Souvenir Desert Eagle | Fennec Fox (Minimal Wear),25941,3972,15.0
★ Talon Knife | Blue Steel (Minimal Wear),43353,3936,9.0
M4A4 | Eye of Horus (Field-Tested),39268,3884,10.0
★ Ursus Knife | Crimson Web (Well-Worn),25000,3873,15.0
M4A1-S | Printstream (Minimal Wear),22127,3411,15.0
★ Nomad Knife | Slaughter (Minimal Wear),45223,3333,7.000000000000001
★ Moto Gloves | Smoke Out (Field-Tested),14498,3146,22.0
★ Nomad Knife | Case Hardened (Well-Worn),24749,3129,13.0
StatTrak™ Five-SeveN | Case Hardened (Factory New),6761,3008,44.0
★ Bayonet | Doppler (Factory New),64600,3004,5.0
★ Bowie Knife | Gamma Doppler (Factory New),39295,2656,7.000000000000001
AWP | Lightning Strike (Factory New),51183,2425,5.0
StatTrak™ AWP | Asiimov (Well-Worn),16938,2375,14.000000000000002
MP9 | Pandora's Box (Factory New),9607,2306,24.0
AK-47 | Vulcan (Minimal Wear),39295,2190,6.0
M4A1-S | Printstream (Field-Tested),13679,1812,13.0
★ Ursus Knife | Ultraviolet (Well-Worn),14756,1708,12.0
StatTrak™ M4A4 | Asiimov (Field-Tested),38907,1705,4.0
StatTrak™ M4A4 | The Emperor (Minimal Wear),8523,1652,19.0
★ StatTrak™ Ursus Knife | Safari Mesh (Field-Tested),10162,1551,15.0
★ Bayonet | Stained (Minimal Wear),29756,1490,5.0
AK-47 | Head Shot (Minimal Wear),4065,1382,34.0
Five-SeveN | Berries And Cherries (Factory New),6158,1333,22.0
★ Stiletto Knife | Safari Mesh (Battle-Scarred),13943,1230,9.0
★ Sport Gloves | Scarlet Shamagh (Battle-Scarred),16050,1188,7.000000000000001
Desert Eagle | Golden Koi (Factory New),6396,1184,19.0
★ StatTrak™ Stiletto Knife | Safari Mesh (Minimal Wear),18225,1124,6.0
★ Navaja Knife | Crimson Web (Field-Tested),10305,1104,11.0
★ Bowie Knife | Freehand (Minimal Wear),15312,1032,7.000000000000001
Desert Eagle | Hypnotic (Factory New),9876,954,10.0
AWP | Redline (Field-Tested),3096,931,30.0
AK-47 | Vulcan (Battle-Scarred),7518,916,12.0
★ Sport Gloves | Bronze Morph (Field-Tested),13550,890,7.000000000000001
★ Specialist Gloves | Buckshot (Field-Tested),5623,860,15.0
StatTrak™ Desert Eagle | Ocean Drive (Field-Tested),4485,814,18.0
Desert Eagle | Printstream (Minimal Wear),4702,712,15.0
StatTrak™ SSG 08 | Turbo Peek (Factory New),4668,688,15.0
★ Specialist Gloves | Tiger Strike (Battle-Scarred),16124,657,4.0
★ Gut Knife | Autotronic (Field-Tested),16233,647,4.0
★ Driver Gloves | Overtake (Field-Tested),9187,638,7.000000000000001
Galil AR | Sugar Rush (Minimal Wear),4089,560,14.000000000000002
Sir Bloody Loudmouth Darryl | The Professionals,2574,536,21.0
StatTrak™ AK-47 | Head Shot (Field-Tested),5190,532,10.0
StatTrak™ SSG 08 | Turbo Peek (Minimal Wear),2275,520,23.0
Glock-18 | Neo-Noir (Factory New),4736,509,11.0
AK-47 | Redline (Minimal Wear),6463,486,8.0
StatTrak™ USP-S | Cyrex (Factory New),1238,477,39.0
AWP | Wildfire (Well-Worn),4801,476,10.0
★ Bowie Knife | Rust Coat (Battle-Scarred),9350,474,5.0
Souvenir MAC-10 | Case Hardened (Battle-Scarred),840,454,54.0
StatTrak™ P250 | Steel Disruption (Minimal Wear),428,447,104.0
Number K | The Professionals,2696,418,16.0
Souvenir M4A4 | Tornado (Field-Tested),486,416,86.0
Cmdr. Frank 'Wet Sox' Baroud | SEAL Frogman,2900,394,14.000000000000002
UMP-45 | Blaze (Factory New),1667,377,23.0
AWP | Neo-Noir (Factory New),2873,376,13.0
M4A4 | In Living Color (Factory New),3489,365,10.0
AK-47 | Wasteland Rebel (Minimal Wear),3652,350,10.0
AK-47 | Asiimov (Minimal Wear),3814,338,9.0
