hash_name,cost_price,profit_rub,profit_percent
M4A4 | Temukau (Field-Tested),2066,208,10.0
Recoil Case,38,-5,-13.0
USP-S | Ticket to Hell (Factory New),173,17,10.0
Dreams & Nightmares Case,101,-11,-11.0
AWP | Acheron (Field-Tested),60,4,7.000000000000001
StatTrak™ AK-47 | Cartel (Factory New),6037,357,6.0
SSG 08 | Big Iron (Battle-Scarred),469,109,23.0
P2000 | Fire Elemental (Factory New),2710,1617,60.0
Sticker | vexite (Holo) | Paris 2023,39,2,5.0
StatTrak™ SCAR-20 | Fragments (Factory New),84,6,7.000000000000001
M249 | Downtown (Battle-Scarred),49,-12,-24.0
USP-S | Purple DDPAT (Factory New),1073,10,1.0
Negev | dev_texture (Minimal Wear),40,-3,-7.000000000000001
SSG 08 | Jungle Dashed (Minimal Wear),38,12,32.0
P250 | Cassette (Factory New),17,-1,-6.0
Sawed-Off | Apocalypto (Field-Tested),30,-5,-17.0
Desert Eagle | Light Rail (Field-Tested),54,-1,-2.0
★ Sport Gloves | Vice (Battle-Scarred),69376,8829,13.0
