hash_name,cost_price,profit_rub,profit_percent
Sticker | Fluxo (Holo) | Paris 2023,308,-45,-15.0
Revolution Case,90,-12,-13.0
Dreams & Nightmares Case,101,-11,-11.0
Nova | Candy Apple (Factory New),15,-1,-7.000000000000001
M4A1-S | VariCamo (Battle-Scarred),52,-2,-4.0
Sticker | FaZe Clan (Holo) | Paris 2023,217,-9,-4.0
P250 | Drought (Field-Tested),19,-2,-11.0
Snakebite Case,24,-2,-8.0
CZ75-Auto | Jungle Dashed (Minimal Wear),30,-2,-7.000000000000001
StatTrak™ UMP-45 | Labyrinth (Field-Tested),20,4,20.0
StatTrak™ SSG 08 | Necropos (Well-Worn),41,6,15.0
StatTrak™ Desert Eagle | Bronze Deco (Factory New),247,2,1.0
AK-47 | Redline (Field-Tested),1314,113,9.0
MAC-10 | Echoing Sands (Field-Tested),16,-2,-12.0
StatTrak™ P2000 | Wicked Sick (Field-Tested),500,7,1.0
StatTrak™ R8 Revolver | Junk Yard (Field-Tested),19,1,5.0
P250 | Contaminant (Minimal Wear),52,18,35.0
StatTrak™ Desert Eagle | Mecha Industries (Field-Tested),785,134,17.0
StatTrak™ Negev | Lionfish (Factory New),241,38,16.0
StatTrak™ Desert Eagle | Corinthian (Factory New),350,35,10.0
MAG-7 | Bulldozer (Field-Tested),378,37,10.0
Desert Eagle | Midnight Storm (Field-Tested),1414,201,14.000000000000002
"Music Kit | Knock2, dashstar*",948,115,12.0
AK-47 | Ice Coaled (Minimal Wear),940,33,4.0
StatTrak™ Tec-9 | Rebel (Battle-Scarred),16,0,0.0
Souvenir Galil AR | Amber Fade (Minimal Wear),481,205,43.0
"StatTrak™ Music Kit | Sam Marshall, Bodacious",139,-17,-12.0
StatTrak™ Desert Eagle | Blue Ply (Well-Worn),49,5,10.0
StatTrak™ AWP | Capillary (Well-Worn),140,-2,-1.0
StatTrak™ P250 | X-Ray (Field-Tested),140,13,9.0
StatTrak™ P250 | Steel Disruption (Factory New),476,171,36.0
P250 | Cyber Shell (Factory New),111,-9,-8.0
XM1014 | Entombed (Field-Tested),246,-6,-2.0
MP9 | Hydra (Factory New),1181,97,8.0
MP9 | Hydra (Well-Worn),338,5,1.0
MAG-7 | Copper Coated (Field-Tested),133,-20,-15.0
★ Ursus Knife | Safari Mesh (Field-Tested),9187,761,8.0
StatTrak™ Desert Eagle | Bronze Deco (Minimal Wear),133,-1,-1.0
P250 | Contamination (Minimal Wear),134,-4,-3.0
Galil AR | Rocket Pop (Minimal Wear),161,-11,-7.000000000000001
StatTrak™ Galil AR | Vandal (Field-Tested),44,8,18.0
Fracture Case,47,-3,-6.0
AK-47 | Uncharted (Factory New),97,-10,-10.0
SG 553 | Integrale (Factory New),13387,2687,20.0
SCAR-20 | Bloodsport (Minimal Wear),303,-1,-0.0
StatTrak™ UMP-45 | Wild Child (Battle-Scarred),321,-23,-7.000000000000001
StatTrak™ MAC-10 | Carnivore (Field-Tested),20,2,10.0
Souvenir P90 | Fallout Warning (Battle-Scarred),266,184,69.0
M4A4 | Royal Paladin (Minimal Wear),1869,32,2.0
FAMAS | Roll Cage (Well-Worn),208,26,12.0
StatTrak™ MP5-SD | Liquidation (Minimal Wear),42,-2,-5.0
MAC-10 | Strats (Factory New),43,-3,-7.000000000000001
Desert Eagle | Blue Ply (Minimal Wear),24,0,0.0
Souvenir Glock-18 | Night (Battle-Scarred),43,-2,-5.0
Souvenir CZ75-Auto | Nitro (Minimal Wear),131,51,39.0
MP9 | Deadly Poison (Factory New),132,12,9.0
Desert Eagle | Meteorite (Minimal Wear),93,2,2.0
StatTrak™ MP5-SD | Agent (Well-Worn),92,24,26.0
Desert Eagle | Golden Koi (Factory New),6680,563,8.0
M4A4 | The Emperor (Battle-Scarred),879,30,3.0
Souvenir MAG-7 | Sand Dune (Field-Tested),19,40,211.0
Tec-9 | Mummy's Rot (Minimal Wear),188,18,10.0
USP-S | Torque (Minimal Wear),93,2,2.0
Sticker | T-Rekt,66,27,41.0
Sticker | Robo,62,109,176.0
Glock-18 | High Beam (Factory New),18,-2,-11.0
Tec-9 | Snek-9 (Factory New),45,11,24.0
Souvenir G3SG1 | Polar Camo (Field-Tested),26,6,23.0
Souvenir G3SG1 | Polar Camo (Battle-Scarred),22,27,123.0
P90 | Asiimov (Field-Tested),635,8,1.0
MAC-10 | Candy Apple (Minimal Wear),17,-1,-6.0
CS:GO Weapon Case 3,714,87,12.0
AWP | Pit Viper (Battle-Scarred),51,6,12.0
AK-47 | Elite Build (Well-Worn),77,5,6.0
Souvenir MAG-7 | Copper Coated (Minimal Wear),120,57,47.0
P90 | Ash Wood (Field-Tested),16,-4,-25.0
P250 | Ripple (Well-Worn),17,3,18.0
MP7 | Cirrus (Well-Worn),14,3,21.0
AK-47 | Vulcan (Field-Tested),18814,1492,8.0
Tec-9 | Mummy's Rot (Well-Worn),116,-9,-8.0
Souvenir FAMAS | Dark Water (Field-Tested),118,14,12.0
Souvenir UMP-45 | Mechanism (Factory New),41,16,39.0
StatTrak™ Glock-18 | Vogue (Minimal Wear),969,53,5.0
StatTrak™ M4A4 | Magnesium (Well-Worn),52,11,21.0
★ Butterfly Knife | Damascus Steel (Battle-Scarred),72899,19935,27.0
XM1014 | Red Python (Field-Tested),118,-4,-3.0
StatTrak™ Glock-18 | Wraiths (Field-Tested),33,-3,-9.0
Souvenir SG 553 | Fallout Warning (Field-Tested),75,33,44.0
Souvenir Galil AR | Hunting Blind (Field-Tested),58,41,71.0
Glock-18 | Moonrise (Minimal Wear),56,15,27.0
StatTrak™ MP9 | Sand Scale (Field-Tested),30,13,43.0
AWP | Worm God (Field-Tested),108,36,33.0
AK-47 | Safari Mesh (Minimal Wear),32,3,9.0
AK-47 | Neon Revolution (Field-Tested),1172,1,0.0
AK-47 | Nightwish (Field-Tested),1115,3,0.0
M4A4 | In Living Color (Minimal Wear),1110,27,2.0
MAC-10 | Surfwood (Factory New),231,-37,-16.0
StatTrak™ UMP-45 | Plastique (Field-Tested),88,-4,-5.0
Tec-9 | Cut Out (Field-Tested),229,49,21.0
Souvenir Nova | Walnut (Well-Worn),87,39,45.0
★ Flip Knife | Safari Mesh (Minimal Wear),13414,2305,17.0
Sawed-Off | Serenity (Factory New),240,-24,-10.0
Dual Berettas | Urban Shock (Minimal Wear),161,-10,-6.0
AK-47 | Ice Coaled (Field-Tested),538,39,7.000000000000001
StatTrak™ MP9 | Food Chain (Field-Tested),285,-2,-1.0
MP7 | Fade (Minimal Wear),624,-11,-2.0
StatTrak™ MAG-7 | SWAG-7 (Battle-Scarred),39,1,3.0
SSG 08 | Acid Fade (Factory New),134,-6,-4.0
Desert Eagle | Meteorite (Factory New),149,-33,-22.0
UMP-45 | Wild Child (Well-Worn),208,76,37.0
"StatTrak™ Music Kit | Perfect World, 花脸 Hua Lian (Painted Face)",474,22,5.0
StatTrak™ Tec-9 | Rebel (Minimal Wear),39,-5,-13.0
Sticker | Defuse It (Holo),25,3,12.0
StatTrak™ AK-47 | Ice Coaled (Factory New),5244,351,7.000000000000001
Sticker | Flick Shotter,36,-4,-11.0
Sticker | Clutchman (Holo),35,18,51.0
Desert Eagle | Light Rail (Field-Tested),54,-5,-9.0
StatTrak™ MP7 | Urban Hazard (Minimal Wear),39,-5,-13.0
MP9 | Rose Iron (Minimal Wear),464,19,4.0
Five-SeveN | Orange Peel (Factory New),39,2,5.0
Sticker | Shifty Tactics,14,0,0.0
Sticker | Zeusception (Holo),52,17,33.0
XM1014 | XOXO (Battle-Scarred),106,7,7.000000000000001
P2000 | Scorpion (Factory New),680,56,8.0
UMP-45 | Oscillator (Factory New),27,-3,-11.0
Nova | Windblown (Factory New),26,-3,-12.0
StatTrak™ P2000 | Gnarled (Minimal Wear),22,0,0.0
AK-47 | Phantom Disruptor (Field-Tested),373,24,6.0
StatTrak™ MAG-7 | Sonar (Factory New),105,19,18.0
StatTrak™ Desert Eagle | Bronze Deco (Field-Tested),56,-1,-2.0
SG 553 | Fallout Warning (Factory New),173,88,51.0
MAC-10 | Candy Apple (Field-Tested),15,1,7.000000000000001
M4A4 | X-Ray (Factory New),1775,166,9.0
Glock-18 | Royal Legion (Factory New),513,91,18.0
Galil AR | Kami (Minimal Wear),261,-2,-1.0
Desert Eagle | Kumicho Dragon (Battle-Scarred),1057,-19,-2.0
SCAR-20 | Poultrygeist (Factory New),16,-1,-6.0
StatTrak™ AWP | Exoskeleton (Well-Worn),447,53,12.0
P250 | Contaminant (Factory New),72,-2,-3.0
StatTrak™ SCAR-20 | Enforcer (Field-Tested),67,-7,-10.0
Soldier | Phoenix,122,-15,-12.0
AK-47 | Slate (Field-Tested),184,-33,-18.0
AK-47 | Asiimov (Minimal Wear),3591,-162,-5.0
AUG | Stymphalian (Minimal Wear),230,13,6.0
R8 Revolver | Reboot (Field-Tested),39,4,10.0
M4A1-S | Nitro (Field-Tested),107,84,79.0
AK-47 | Slate (Battle-Scarred),159,-23,-14.000000000000002
MAC-10 | Candy Apple (Factory New),22,-3,-14.000000000000002
Paris 2023 Challengers Autograph Capsule,21,6,28.999999999999996
Patch | Heroic | Stockholm 2021,250,-33,-13.0
Sealed Graffiti | Broken Heart (Brick Red),54,15,28.000000000000004
Souvenir Sawed-Off | Brake Light (Factory New),72,2,3.0
Sealed Graffiti | SK Gaming | Boston 2018,89,29,33.0
Sealed Graffiti | R.I.P.I.P.,55,18,33.0
Sealed Graffiti | Astralis | Atlanta 2017,100,114,113.99999999999999
M4A4 | Desolate Space (Minimal Wear),828,37,4.0
AUG | Fleet Flock (Well-Worn),136,3,2.0
Sticker | maden (Holo) | Paris 2023,40,-5,-12.0
Sticker | ropz (Glitter) | Paris 2023,37,-2,-5.0
USP-S | Printstream (Field-Tested),3205,134,4.0
Desert Eagle | Printstream (Minimal Wear),4207,305,7.000000000000001
★ Stiletto Knife | Crimson Web (Field-Tested),30284,2731,9.0
XM1014 | Red Python (Minimal Wear),145,6,4.0
StatTrak™ SG 553 | Phantom (Minimal Wear),149,61,41.0
Antwerp 2022 Viewer Pass + 3 Souvenir Tokens,3333,4845,145.0
Little Kev | The Professionals,1118,135,12.0
Tec-9 | Bamboo Forest (Factory New),515,43,8.0
StatTrak™ Tec-9 | Jambiya (Well-Worn),33,2,6.0
"StatTrak™ Music Kit | Twin Atlantic, GLA",78,0,0.0
MP9 | Goo (Well-Worn),33,5,15.0
Galil AR | Stone Cold (Well-Worn),147,-18,-12.0
MAC-10 | Sakkaku (Battle-Scarred),29,16,55.00000000000001
Sawed-Off | Brake Light (Factory New),101,-6,-6.0
★ Stiletto Knife | Forest DDPAT (Battle-Scarred),13536,1508,11.0
★ Sport Gloves | Omega (Field-Tested),51626,10923,21.0
R8 Revolver | Grip (Factory New),26,2,8.0
★ Specialist Gloves | Emerald Web (Field-Tested),56910,7077,12.0
M4A1-S | Fizzy POP (Field-Tested),78,-4,-5.0
★ Stiletto Knife | Ultraviolet (Field-Tested),18157,1476,8.0
StatTrak™ MP7 | Mischief (Field-Tested),25,3,12.0
StatTrak™ M4A4 | Magnesium (Field-Tested),75,1,1.0
AK-47 | Cartel (Minimal Wear),881,-4,-0.0
M4A4 | Temukau (Field-Tested),2053,149,7.000000000000001
StatTrak™ M249 | O.S.I.P.R. (Field-Tested),20,-2,-10.0
M4A1-S | VariCamo (Field-Tested),80,-14,-17.0
Sticker | Fnatic (Glitter) | Paris 2023,19,-2,-11.0
Souvenir USP-S | Purple DDPAT (Field-Tested),237,34,14.000000000000002
★ Falchion Knife | Autotronic (Minimal Wear),19302,3127,16.0
StatTrak™ Desert Eagle | Trigger Discipline (Field-Tested),134,3,2.0
UMP-45 | Arctic Wolf (Factory New),93,-10,-11.0
StatTrak™ CZ75-Auto | Imprint (Factory New),141,74,52.0
Sticker | ropz (Gold) | Paris 2023,5695,817,14.000000000000002
StatTrak™ Galil AR | Destroyer (Minimal Wear),32,2,6.0
Sticker | Eternal Fire (Holo) | Antwerp 2022,878,-47,-5.0
CZ75-Auto | Circaetus (Factory New),32,0,0.0
MP7 | Bloodsport (Field-Tested),117,32,27.0
USP-S | Cyrex (Minimal Wear),149,11,7.000000000000001
StatTrak™ Glock-18 | Moonrise (Battle-Scarred),61,7,11.0
★ M9 Bayonet | Urban Masked (Field-Tested),35609,668,2.0
★ Butterfly Knife | Slaughter (Minimal Wear),117858,4492,4.0
USP-S | Blood Tiger (Factory New),366,-34,-9.0
M4A4 | The Battlestar (Minimal Wear),536,23,4.0
Galil AR | Eco (Well-Worn),186,-6,-3.0
CZ75-Auto | Tacticat (Minimal Wear),61,2,3.0
"Sticker | ZywOo (Gold, Champion) | Paris 2023",1333,-153,-11.0
★ Stiletto Knife | Case Hardened (Well-Worn),25507,4945,19.0
UMP-45 | Arctic Wolf (Field-Tested),22,3,14.000000000000002
StatTrak™ MAC-10 | Sakkaku (Battle-Scarred),74,32,43.0
R8 Revolver | Banana Cannon (Well-Worn),31,-2,-6.0
MP9 | Modest Threat (Factory New),20,0,0.0
CZ75-Auto | Midnight Palm (Minimal Wear),154,2,1.0
XM1014 | XOXO (Well-Worn),107,6,6.0
AUG | Carved Jade (Factory New),2087,-56,-3.0
MAC-10 | Surfwood (Field-Tested),196,-31,-16.0
StatTrak™ USP-S | Flashback (Field-Tested),141,19,13.0
USP-S | Royal Blue (Factory New),4878,908,19.0
StatTrak™ MP9 | Deadly Poison (Minimal Wear),93,-4,-4.0
StatTrak™ Five-SeveN | Violent Daimyo (Minimal Wear),79,11,14.000000000000002
StatTrak™ Five-SeveN | Case Hardened (Field-Tested),1944,162,8.0
M249 | Impact Drill (Minimal Wear),116,15,13.0
Galil AR | Kami (Field-Tested),258,-9,-3.0
FAMAS | Macabre (Field-Tested),203,18,9.0
AK-47 | Frontside Misty (Field-Tested),1111,-28,-3.0
Souvenir Tec-9 | Mummy's Rot (Well-Worn),60,66,110.00000000000001
P250 | Forest Night (Factory New),128,92,72.0
R8 Revolver | Memento (Field-Tested),121,-27,-22.0
AUG | Navy Murano (Minimal Wear),121,-16,-13.0
StatTrak™ Nova | Wild Six (Minimal Wear),117,22,19.0
Negev | Lionfish (Factory New),88,5,6.0
Souvenir Nova | Walnut (Field-Tested),86,0,0.0
P90 | Shallow Grave (Battle-Scarred),128,11,9.0
USP-S | Ticket to Hell (Well-Worn),62,1,2.0
R8 Revolver | Blaze (Factory New),122,10,8.0
Sawed-Off | Yorick (Factory New),32,45,141.0
P250 | Wingshot (Field-Tested),93,8,9.0
Dual Berettas | Cartel (Factory New),123,38,31.0
Sticker | Cbbl (Holo),105,57,54.0
Nova | Toy Soldier (Minimal Wear),117,-17,-15.0
★ Sport Gloves | Amphibious (Battle-Scarred),39160,-353,-1.0
P90 | Storm (Minimal Wear),218,-10,-5.0
AUG | Radiation Hazard (Minimal Wear),146,14,10.0
Sticker | Grayhound Gaming (Holo) | Paris 2023,96,-14,-15.0
Paris 2023 Contenders Sticker Capsule,20,0,0.0
Tec-9 | Safety Net (Field-Tested),78,26,33.0
MP5-SD | Kitbash (Factory New),114,0,0.0
G3SG1 | Black Sand (Field-Tested),116,-19,-16.0
MP5-SD | Acid Wash (Minimal Wear),108,1,1.0
StatTrak™ FAMAS | Crypsis (Factory New),134,25,19.0
R8 Revolver | Survivalist (Factory New),30,2,7.000000000000001
Galil AR | VariCamo (Factory New),16,-4,-25.0
AK-47 | Slate (Minimal Wear),291,7,2.0
Sawed-Off | Snake Camo (Minimal Wear),18,0,0.0
StatTrak™ UMP-45 | Wild Child (Field-Tested),488,115,24.0
★ Sport Gloves | Vice (Minimal Wear),409210,40605,10.0
StatTrak™ P250 | Re.built (Factory New),115,13,11.0
Souvenir Nova | Quick Sand (Factory New),115,70,61.0
AWP | Neo-Noir (Factory New),2656,132,5.0
XM1014 | Black Tie (Well-Worn),29,5,17.0
StatTrak™ Nova | Koi (Factory New),433,262,61.0
"Music Kit | The Verkkars, EZ4ENCE",275,-3,-1.0
Tec-9 | Urban DDPAT (Factory New),15,2,13.0
Desert Eagle | Oxide Blaze (Battle-Scarred),17,5,28.999999999999996
Glock-18 | Gamma Doppler (Factory New),4396,295,7.000000000000001
StatTrak™ CZ75-Auto | Circaetus (Battle-Scarred),19,2,11.0
USP-S | Cyrex (Field-Tested),107,22,21.0
USP-S | Cyrex (Factory New),268,59,22.0
Souvenir Dual Berettas | Colony (Field-Tested),17,17,100.0
Five-SeveN | Violent Daimyo (Minimal Wear),16,5,31.0
Souvenir PP-Bizon | Facility Sketch (Factory New),108,-17,-16.0
★ Moto Gloves | Spearmint (Minimal Wear),459182,58217,13.0
StatTrak™ Tec-9 | Ice Cap (Factory New),127,29,23.0
Sticker | TeSeS (Holo) | Paris 2023,108,-29,-27.0
Sticker | arT (Gold) | Paris 2023,718,-95,-13.0
Sticker | sjuush (Holo) | Paris 2023,74,-10,-14.000000000000002
Sticker | aliStair (Holo) | Paris 2023,59,-9,-15.0
Sticker | Fnatic (Gold) | Paris 2023,340,-31,-9.0
Sticker | Fnatic (Holo) | Paris 2023,328,-22,-7.000000000000001
Sticker | cadiaN (Holo) | Paris 2023,447,-76,-17.0
★ Specialist Gloves | Field Agent (Minimal Wear),60812,4428,7.000000000000001
MAC-10 | Last Dive (Field-Tested),105,-16,-15.0
Sticker | Team Liquid (Gold) | Paris 2023,286,-30,-10.0
StatTrak™ CZ75-Auto | Eco (Battle-Scarred),105,32,30.0
★ Huntsman Knife,24309,600,2.0
★ Bayonet | Slaughter (Factory New),56090,5660,10.0
StatTrak™ Nova | Windblown (Factory New),105,0,0.0
StatTrak™ Tec-9 | Bamboozle (Minimal Wear),105,5,5.0
★ Ursus Knife | Scorched (Minimal Wear),10162,1547,15.0
Tec-9 | Fuel Injector (Field-Tested),186,-28,-15.0
StatTrak™ MP9 | Sand Scale (Factory New),104,20,19.0
StatTrak™ Five-SeveN | Triumvirate (Field-Tested),304,42,14.000000000000002
StatTrak™ Glock-18 | Off World (Battle-Scarred),22,4,18.0
SCAR-20 | Powercore (Factory New),114,14,12.0
Sticker | BOROS (Holo) | Paris 2023,453,-25,-6.0
★ Butterfly Knife | Lore (Battle-Scarred),77899,4853,6.0
Tec-9 | Red Quartz (Field-Tested),14,2,14.000000000000002
PP-Bizon | Bamboo Print (Field-Tested),173,-30,-17.0
P250 | Metallic DDPAT (Factory New),20,-2,-10.0
Sticker | History (Gold) | Paris 2023,153,96,63.0
Sticker | Grim (Holo) | Paris 2023,61,1,2.0
Sticker | INS (Holo) | Paris 2023,106,-15,-14.000000000000002
Sticker | felps (Holo) | Paris 2023,146,4,3.0
Desert Eagle | Urban Rubble (Field-Tested),34,-6,-18.0
Sticker | Sico (Gold) | Paris 2023,153,4,3.0
Sticker | xertioN (Gold) | Paris 2023,542,-4,-1.0
AK-47 | Panthera onca (Battle-Scarred),11836,603,5.0
★ Ursus Knife | Ultraviolet (Minimal Wear),21002,312,1.0
StatTrak™ Galil AR | Signal (Field-Tested),96,30,31.0
★ Moto Gloves | Turtle (Field-Tested),12466,1163,9.0
★ Falchion Knife | Ultraviolet (Field-Tested),10569,252,2.0
M249 | Impact Drill (Well-Worn),96,-16,-17.0
M4A1-S | Decimator (Field-Tested),944,-15,-2.0
M4A1-S | Decimator (Factory New),2940,-52,-2.0
